数据集,问题名称,有openevolve_output
bio_pop_growth,BPG0,Yes
bio_pop_growth,BPG1,Yes
bio_pop_growth,BPG10,Yes
bio_pop_growth,BPG11,Yes
bio_pop_growth,BPG12,Yes
bio_pop_growth,BPG13,Yes
bio_pop_growth,BPG14,Yes
bio_pop_growth,BPG15,Yes
bio_pop_growth,BPG16,Yes
bio_pop_growth,BPG17,Yes
bio_pop_growth,BPG18,Yes
bio_pop_growth,BPG19,Yes
bio_pop_growth,BPG2,Yes
bio_pop_growth,BPG20,Yes
bio_pop_growth,BPG21,Yes
bio_pop_growth,BPG22,Yes
bio_pop_growth,BPG23,Yes
bio_pop_growth,BPG3,Yes
bio_pop_growth,BPG4,Yes
bio_pop_growth,BPG5,Yes
bio_pop_growth,BPG6,Yes
bio_pop_growth,BPG7,Yes
bio_pop_growth,BPG8,Yes
bio_pop_growth,BPG9,Yes
chem_react,CRK0,Yes
chem_react,CRK1,Yes
chem_react,CRK10,Yes
chem_react,CRK11,Yes
chem_react,CRK12,Yes
chem_react,CRK13,Yes
chem_react,CRK14,Yes
chem_react,CRK15,Yes
chem_react,CRK16,Yes
chem_react,CRK17,Yes
chem_react,CRK18,Yes
chem_react,CRK19,Yes
chem_react,CRK2,Yes
chem_react,CRK20,Yes
chem_react,CRK21,Yes
chem_react,CRK22,Yes
chem_react,CRK23,Yes
chem_react,CRK24,Yes
chem_react,CRK25,Yes
chem_react,CRK26,Yes
chem_react,CRK27,Yes
chem_react,CRK28,Yes
chem_react,CRK29,Yes
chem_react,CRK3,Yes
chem_react,CRK30,Yes
chem_react,CRK31,Yes
chem_react,CRK32,Yes
chem_react,CRK33,Yes
chem_react,CRK34,Yes
chem_react,CRK35,Yes
chem_react,CRK4,Yes
chem_react,CRK5,Yes
chem_react,CRK6,Yes
chem_react,CRK7,Yes
chem_react,CRK8,Yes
chem_react,CRK9,Yes
matsci,MatSci0,Yes
matsci,MatSci1,Yes
matsci,MatSci10,Yes
matsci,MatSci11,Yes
matsci,MatSci12,Yes
matsci,MatSci13,Yes
matsci,MatSci14,Yes
matsci,MatSci16,Yes
matsci,MatSci18,Yes
matsci,MatSci19,Yes
matsci,MatSci2,Yes
matsci,MatSci20,Yes
matsci,MatSci21,Yes
matsci,MatSci22,Yes
matsci,MatSci23,Yes
matsci,MatSci24,Yes
matsci,MatSci3,Yes
matsci,MatSci4,Yes
matsci,MatSci5,Yes
matsci,MatSci6,Yes
matsci,MatSci7,Yes
matsci,MatSci8,Yes
matsci,MatSci9,Yes
matsci,MatSci25,No
matsci,MatSci28,No
phys_osc,PO0,Yes
phys_osc,PO1,Yes
phys_osc,PO10,Yes
phys_osc,PO11,Yes
phys_osc,PO12,Yes
phys_osc,PO13,Yes
phys_osc,PO14,Yes
phys_osc,PO15,Yes
phys_osc,PO16,Yes
phys_osc,PO17,Yes
phys_osc,PO18,Yes
phys_osc,PO19,Yes
phys_osc,PO2,Yes
phys_osc,PO20,Yes
phys_osc,PO21,Yes
phys_osc,PO22,Yes
phys_osc,PO23,Yes
phys_osc,PO24,Yes
phys_osc,PO25,Yes
phys_osc,PO26,Yes
phys_osc,PO27,Yes
phys_osc,PO28,Yes
phys_osc,PO29,Yes
phys_osc,PO3,Yes
phys_osc,PO30,Yes
phys_osc,PO31,Yes
phys_osc,PO32,Yes
phys_osc,PO33,Yes
phys_osc,PO34,Yes
phys_osc,PO35,Yes
phys_osc,PO36,Yes
phys_osc,PO37,Yes
phys_osc,PO38,Yes
phys_osc,PO39,Yes
phys_osc,PO4,Yes
phys_osc,PO40,Yes
phys_osc,PO41,Yes
phys_osc,PO42,Yes
phys_osc,PO43,Yes
phys_osc,PO5,Yes
phys_osc,PO6,Yes
phys_osc,PO7,Yes
phys_osc,PO8,Yes
phys_osc,PO9,Yes
